id,created_at,index_value,constituent_tokens,calculation_breakdown
404,2025-01-27 07:10:12+00,96.5386031808657,,"{""assets"":[{""ratio"":2.4351173036191702,""symbol"":""BTC"",""basePrice"":42124.02,""change24h"":null,""currentPrice"":102576.93},{""ratio"":1.424970347932292,""symbol"":""ETH"",""basePrice"":2267.97,""change24h"":null,""currentPrice"":3231.79},{""ratio"":5.698661135206486,""symbol"":""XRP"",""basePrice"":0.5303,""change24h"":null,""currentPrice"":3.022},{""ratio"":2.1821453106087865,""symbol"":""BNB"",""basePrice"":305.69,""change24h"":null,""currentPrice"":667.06},{""ratio"":2.550922978994271,""symbol"":""SOL"",""basePrice"":94.26,""change24h"":null,""currentPrice"":240.45},{""ratio"":4.19141502370851,""symbol"":""DOGE"",""basePrice"":0.08014,""change24h"":null,""currentPrice"":0.3359},{""ratio"":2.1884444444444444,""symbol"":""TRX"",""basePrice"":0.1125,""change24h"":null,""currentPrice"":0.2462},{""ratio"":1.9600905163546596,""symbol"":""ADA"",""basePrice"":0.4861,""change24h"":null,""currentPrice"":0.9528},{""ratio"":2.7761836441893832,""symbol"":""SUI"",""basePrice"":1.394,""change24h"":null,""currentPrice"":3.87},{""ratio"":1.0736177884615383,""symbol"":""AVAX"",""basePrice"":33.28,""change24h"":null,""currentPrice"":35.73}],""sumOfRatios"":26.48156849351954}"
403,2025-02-04 07:10:12+00,86.50152912793870,,"{""assets"":[{""ratio"":2.3831519741152323,""symbol"":""BTC"",""basePrice"":42570.21,""change24h"":null,""currentPrice"":101451.28},{""ratio"":1.2597130223534965,""symbol"":""ETH"",""basePrice"":2288.68,""change24h"":null,""currentPrice"":2883.08},{""ratio"":5.3757455268389664,""symbol"":""XRP"",""basePrice"":0.503,""change24h"":null,""currentPrice"":2.704},{""ratio"":2.0287599724219447,""symbol"":""BNB"",""basePrice"":304.59,""change24h"":null,""currentPrice"":617.94},{""ratio"":2.268706770069168,""symbol"":""SOL"",""basePrice"":95.42,""change24h"":null,""currentPrice"":216.48},{""ratio"":3.6433316300459886,""symbol"":""DOGE"",""basePrice"":0.07828,""change24h"":null,""currentPrice"":0.2852},{""ratio"":1.9315878378378377,""symbol"":""TRX"",""basePrice"":0.1184,""change24h"":null,""currentPrice"":0.2287},{""ratio"":1.6482157339821573,""symbol"":""ADA"",""basePrice"":0.4932,""change24h"":null,""currentPrice"":0.8129},{""ratio"":0.8162503588860178,""symbol"":""AVAX"",""basePrice"":34.83,""change24h"":null,""currentPrice"":28.43}],""sumOfRatios"":21.355462826550806}"
402,2025-02-05 07:10:12+00,81.50541058647340,,"{""assets"":[{""ratio"":2.2921806764208985,""symbol"":""BTC"",""basePrice"":42664.56,""change24h"":null,""currentPrice"":97794.88},{""ratio"":1.188299204927017,""symbol"":""ETH"",""basePrice"":2299.16,""change24h"":null,""currentPrice"":2732.09},{""ratio"":4.9940734887396285,""symbol"":""XRP"",""basePrice"":0.5062,""change24h"":null,""currentPrice"":2.528},{""ratio"":1.9031765018607125,""symbol"":""BNB"",""basePrice"":300.96,""change24h"":null,""currentPrice"":572.78},{""ratio"":2.164397905759162,""symbol"":""SOL"",""basePrice"":95.5,""change24h"":null,""currentPrice"":206.7},{""ratio"":3.3686900958466452,""symbol"":""DOGE"",""basePrice"":0.07825,""change24h"":null,""currentPrice"":0.2636},{""ratio"":1.8881412952060554,""symbol"":""TRX"",""basePrice"":0.1189,""change24h"":null,""currentPrice"":0.2245},{""ratio"":1.5066828675577155,""symbol"":""ADA"",""basePrice"":0.4938,""change24h"":null,""currentPrice"":0.744},{""ratio"":2.2846251588310036,""symbol"":""SUI"",""basePrice"":1.574,""change24h"":null,""currentPrice"":3.596},{""ratio"":0.767536231884058,""symbol"":""AVAX"",""basePrice"":34.5,""change24h"":null,""currentPrice"":26.48}],""sumOfRatios"":22.3578034270329}"
401,2025-02-06 07:10:12+00,78.61687067711630,,"{""assets"":[{""ratio"":2.2425231791598854,""symbol"":""BTC"",""basePrice"":43091.51,""change24h"":null,""currentPrice"":96633.71},{""ratio"":1.1754995362954221,""symbol"":""ETH"",""basePrice"":2372.2,""change24h"":null,""currentPrice"":2788.52},{""ratio"":4.714851485148515,""symbol"":""XRP"",""basePrice"":0.505,""change24h"":null,""currentPrice"":2.381},{""ratio"":1.8812260536398466,""symbol"":""BNB"",""basePrice"":302.76,""change24h"":null,""currentPrice"":569.56},{""ratio"":2.0248838409912238,""symbol"":""SOL"",""basePrice"":96.85,""change24h"":null,""currentPrice"":196.11},{""ratio"":3.263667643685485,""symbol"":""DOGE"",""basePrice"":0.07847,""change24h"":null,""currentPrice"":0.2561},{""ratio"":1.8411910669975187,""symbol"":""TRX"",""basePrice"":0.1209,""change24h"":null,""currentPrice"":0.2226},{""ratio"":1.470092332396628,""symbol"":""ADA"",""basePrice"":0.4982,""change24h"":null,""currentPrice"":0.7324},{""ratio"":2.19433465085639,""symbol"":""SUI"",""basePrice"":1.518,""change24h"":null,""currentPrice"":3.331},{""ratio"":0.7571763327475103,""symbol"":""AVAX"",""basePrice"":34.14,""change24h"":null,""currentPrice"":25.85}],""sumOfRatios"":21.565446121918423}"
400,2025-02-07 07:10:12+00,75.29197516049250,,"{""assets"":[{""ratio"":2.1778610903619025,""symbol"":""BTC"",""basePrice"":44339.04,""change24h"":null,""currentPrice"":96564.27},{""ratio"":1.1083309615440142,""symbol"":""ETH"",""basePrice"":2424.33,""change24h"":null,""currentPrice"":2686.96},{""ratio"":4.527934592174421,""symbol"":""XRP"",""basePrice"":0.5137,""change24h"":null,""currentPrice"":2.326},{""ratio"":1.8611725663716812,""symbol"":""BNB"",""basePrice"":307.36,""change24h"":null,""currentPrice"":572.05},{""ratio"":1.8748887350410444,""symbol"":""SOL"",""basePrice"":101.11,""change24h"":null,""currentPrice"":189.57},{""ratio"":3.0944950692797404,""symbol"":""DOGE"",""basePrice"":0.08011,""change24h"":null,""currentPrice"":0.2479},{""ratio"":1.8737864077669903,""symbol"":""TRX"",""basePrice"":0.1236,""change24h"":null,""currentPrice"":0.2316},{""ratio"":1.4047002589125672,""symbol"":""ADA"",""basePrice"":0.5021,""change24h"":null,""currentPrice"":0.7053},{""ratio"":2.035691109669046,""symbol"":""SUI"",""basePrice"":1.541,""change24h"":null,""currentPrice"":3.137},{""ratio"":0.6945310286200057,""symbol"":""AVAX"",""basePrice"":35.29,""change24h"":null,""currentPrice"":24.51}],""sumOfRatios"":20.65339181974141}"
399,2025-02-08 07:10:12+00,74.83053303916500,,"{""assets"":[{""ratio"":2.130748504401649,""symbol"":""BTC"",""basePrice"":45304.61,""change24h"":null,""currentPrice"":96532.73},{""ratio"":1.0838419862880664,""symbol"":""ETH"",""basePrice"":2419.79,""change24h"":null,""currentPrice"":2622.67},{""ratio"":4.659024674567709,""symbol"":""XRP"",""basePrice"":0.5147,""change24h"":null,""currentPrice"":2.398},{""ratio"":1.8104755341144039,""symbol"":""BNB"",""basePrice"":319.22,""change24h"":null,""currentPrice"":577.94},{""ratio"":1.8687615526802217,""symbol"":""SOL"",""basePrice"":102.79,""change24h"":null,""currentPrice"":192.09},{""ratio"":3.0875172154751476,""symbol"":""DOGE"",""basePrice"":0.07987,""change24h"":null,""currentPrice"":0.2466},{""ratio"":1.886792452830189,""symbol"":""TRX"",""basePrice"":0.1219,""change24h"":null,""currentPrice"":0.23},{""ratio"":1.3343390533660193,""symbol"":""ADA"",""basePrice"":0.5303,""change24h"":null,""currentPrice"":0.7076},{""ratio"":1.9744597249508842,""symbol"":""SUI"",""basePrice"":1.527,""change24h"":null,""currentPrice"":3.015},{""ratio"":0.6908526256352343,""symbol"":""AVAX"",""basePrice"":35.42,""change24h"":null,""currentPrice"":24.47}],""sumOfRatios"":20.526813324309522}"
398,2025-02-09 07:10:12+00,73.30510568900170,,"{""assets"":[{""ratio"":2.045958337141758,""symbol"":""BTC"",""basePrice"":47154.23,""change24h"":null,""currentPrice"":96475.59},{""ratio"":1.0583449240639649,""symbol"":""ETH"",""basePrice"":2487.62,""change24h"":null,""currentPrice"":2632.76},{""ratio"":4.598137944138324,""symbol"":""XRP"",""basePrice"":0.5263,""change24h"":null,""currentPrice"":2.42},{""ratio"":1.8897560072796817,""symbol"":""BNB"",""basePrice"":324.19,""change24h"":null,""currentPrice"":612.64},{""ratio"":1.8650897531787587,""symbol"":""SOL"",""basePrice"":106.96,""change24h"":null,""currentPrice"":199.49},{""ratio"":3.100490196078431,""symbol"":""DOGE"",""basePrice"":0.0816,""change24h"":null,""currentPrice"":0.253},{""ratio"":1.8698464025869037,""symbol"":""TRX"",""basePrice"":0.1237,""change24h"":null,""currentPrice"":0.2313},{""ratio"":1.2956184137548528,""symbol"":""ADA"",""basePrice"":0.5409,""change24h"":null,""currentPrice"":0.7008},{""ratio"":1.7383654937570943,""symbol"":""SUI"",""basePrice"":1.762,""change24h"":null,""currentPrice"":3.063},{""ratio"":0.6467648605996843,""symbol"":""AVAX"",""basePrice"":38.02,""change24h"":null,""currentPrice"":24.59}],""sumOfRatios"":20.108372332579453}"
397,2025-02-10 07:10:12+00,72.50001375111200,,"{""assets"":[{""ratio"":2.01987434297184,""symbol"":""BTC"",""basePrice"":47768.12,""change24h"":null,""currentPrice"":96485.6},{""ratio"":1.0507703319244903,""symbol"":""ETH"",""basePrice"":2500.87,""change24h"":null,""currentPrice"":2627.84},{""ratio"":4.567830566685747,""symbol"":""XRP"",""basePrice"":0.5241,""change24h"":null,""currentPrice"":2.394},{""ratio"":1.9055955952859658,""symbol"":""BNB"",""basePrice"":323.29,""change24h"":null,""currentPrice"":616.06},{""ratio"":1.8384523700375908,""symbol"":""SOL"",""basePrice"":109.07,""change24h"":null,""currentPrice"":200.52},{""ratio"":3.0570902394106816,""symbol"":""DOGE"",""basePrice"":0.08145,""change24h"":null,""currentPrice"":0.249},{""ratio"":1.8642570281124498,""symbol"":""TRX"",""basePrice"":0.1245,""change24h"":null,""currentPrice"":0.2321},{""ratio"":1.2359978249048396,""symbol"":""ADA"",""basePrice"":0.5517,""change24h"":null,""currentPrice"":0.6819},{""ratio"":1.729214780600462,""symbol"":""SUI"",""basePrice"":1.732,""change24h"":null,""currentPrice"":2.995},{""ratio"":0.6184439473030078,""symbol"":""AVAX"",""basePrice"":40.23,""change24h"":null,""currentPrice"":24.88}],""sumOfRatios"":19.887527027237073}"
396,2025-02-11 07:10:12+00,74.59724645150730,,"{""assets"":[{""ratio"":2.017310079079037,""symbol"":""BTC"",""basePrice"":48311.16,""change24h"":null,""currentPrice"":97458.59},{""ratio"":1.0614176744779518,""symbol"":""ETH"",""basePrice"":2507.91,""change24h"":null,""currentPrice"":2661.94},{""ratio"":4.6057381721451645,""symbol"":""XRP"",""basePrice"":0.5263,""change24h"":null,""currentPrice"":2.424},{""ratio"":1.9280416355023684,""symbol"":""BNB"",""basePrice"":320.88,""change24h"":null,""currentPrice"":618.67},{""ratio"":1.8657424637141793,""symbol"":""SOL"",""basePrice"":107.48,""change24h"":null,""currentPrice"":200.53},{""ratio"":3.1433846153846154,""symbol"":""DOGE"",""basePrice"":0.08125,""change24h"":null,""currentPrice"":0.2554},{""ratio"":1.9822866344605474,""symbol"":""TRX"",""basePrice"":0.1242,""change24h"":null,""currentPrice"":0.2462},{""ratio"":1.3143226282761167,""symbol"":""ADA"",""basePrice"":0.5418,""change24h"":null,""currentPrice"":0.7121},{""ratio"":1.898465171192444,""symbol"":""SUI"",""basePrice"":1.694,""change24h"":null,""currentPrice"":3.216},{""ratio"":0.6461112509438712,""symbol"":""AVAX"",""basePrice"":39.73,""change24h"":null,""currentPrice"":25.67}],""sumOfRatios"":20.462820325176295}"
395,2025-02-12 07:10:12+00,73.15335479677930,,"{""assets"":[{""ratio"":1.917808452320717,""symbol"":""BTC"",""basePrice"":49942.97,""change24h"":null,""currentPrice"":95781.05},{""ratio"":0.9780722855338725,""symbol"":""ETH"",""basePrice"":2660.56,""change24h"":null,""currentPrice"":2602.22},{""ratio"":4.538273462478841,""symbol"":""XRP"",""basePrice"":0.5317,""change24h"":null,""currentPrice"":2.413},{""ratio"":1.9575038868396184,""symbol"":""BNB"",""basePrice"":328.03,""change24h"":null,""currentPrice"":642.12},{""ratio"":1.77168173274859,""symbol"":""SOL"",""basePrice"":111.73,""change24h"":null,""currentPrice"":197.95},{""ratio"":3.076829564794554,""symbol"":""DOGE"",""basePrice"":0.08226,""change24h"":null,""currentPrice"":0.2531},{""ratio"":1.9288,""symbol"":""TRX"",""basePrice"":0.125,""change24h"":null,""currentPrice"":0.2411},{""ratio"":1.3906361686919229,""symbol"":""ADA"",""basePrice"":0.5596,""change24h"":null,""currentPrice"":0.7782},{""ratio"":1.887627695800227,""symbol"":""SUI"",""basePrice"":1.762,""change24h"":null,""currentPrice"":3.326},{""ratio"":0.6195121951219512,""symbol"":""AVAX"",""basePrice"":41,""change24h"":null,""currentPrice"":25.4}],""sumOfRatios"":20.066745444330294}"
